batch_id,start_row,end_row,chunk_count,status
0,0,4,5,completed
1,5,9,5,completed
2,10,14,5,completed
3,15,19,5,pending
4,20,24,5,pending
5,25,29,5,pending
6,30,34,5,pending
7,35,39,5,pending
8,40,44,5,pending
9,45,49,5,pending
10,50,54,5,pending
11,55,59,5,pending
12,60,64,5,pending
13,65,69,5,pending
14,70,74,5,pending
15,75,79,5,pending
16,80,84,5,pending
17,85,89,5,pending
18,90,94,5,pending
19,95,99,5,pending
20,100,104,5,pending
21,105,109,5,pending
22,110,114,5,pending
23,115,119,5,pending
24,120,124,5,pending
25,125,129,5,pending
26,130,134,5,pending
27,135,139,5,pending
28,140,144,5,pending
29,145,149,5,pending
30,150,154,5,pending
31,155,159,5,pending
32,160,164,5,pending
33,165,169,5,pending
34,170,174,5,pending
35,175,179,5,pending
36,180,184,5,pending
37,185,189,5,pending
38,190,194,5,pending
39,195,199,5,pending
40,200,204,5,pending
41,205,209,5,pending
42,210,214,5,pending
43,215,219,5,pending
44,220,224,5,pending
45,225,229,5,pending
46,230,234,5,pending
47,235,239,5,pending
48,240,244,5,pending
49,245,249,5,pending
50,250,254,5,pending
51,255,259,5,pending
52,260,264,5,pending
53,265,269,5,pending
54,270,274,5,pending
55,275,279,5,pending
56,280,284,5,pending
57,285,289,5,pending
58,290,294,5,pending
59,295,299,5,pending
60,300,304,5,pending
61,305,309,5,pending
62,310,314,5,pending
63,315,319,5,pending
64,320,324,5,pending
65,325,329,5,pending
66,330,334,5,pending
67,335,339,5,pending
68,340,344,5,pending
69,345,349,5,pending
70,350,354,5,pending
71,355,359,5,pending
72,360,364,5,pending
73,365,369,5,pending
74,370,374,5,pending
75,375,379,5,pending
76,380,384,5,pending
77,385,389,5,pending
78,390,394,5,pending
79,395,399,5,pending
80,400,404,5,pending
81,405,409,5,pending
82,410,414,5,pending
83,415,419,5,pending
84,420,424,5,pending
85,425,429,5,pending
86,430,434,5,pending
87,435,439,5,pending
88,440,444,5,pending
89,445,449,5,pending
90,450,454,5,pending
91,455,459,5,pending
92,460,464,5,pending
93,465,469,5,pending
94,470,474,5,pending
95,475,479,5,pending
96,480,484,5,pending
97,485,489,5,pending
98,490,494,5,pending
99,495,499,5,pending
100,500,504,5,pending
101,505,509,5,pending
102,510,514,5,pending
103,515,519,5,pending
104,520,524,5,pending
105,525,529,5,pending
106,530,534,5,pending
107,535,539,5,pending
108,540,544,5,pending
109,545,549,5,pending
110,550,554,5,pending
111,555,559,5,pending
112,560,564,5,pending
113,565,569,5,pending
114,570,574,5,pending
115,575,579,5,pending
116,580,584,5,pending
117,585,589,5,pending
118,590,594,5,pending
119,595,599,5,pending
120,600,604,5,pending
121,605,609,5,pending
122,610,614,5,pending
123,615,619,5,pending
124,620,624,5,pending
125,625,629,5,pending
126,630,634,5,pending
127,635,639,5,pending
128,640,644,5,pending
129,645,649,5,pending
130,650,654,5,pending
131,655,659,5,pending
132,660,664,5,pending
133,665,669,5,pending
134,670,674,5,pending
135,675,679,5,pending
136,680,684,5,pending
137,685,689,5,pending
138,690,694,5,pending
139,695,699,5,pending
140,700,704,5,pending
141,705,709,5,pending
142,710,714,5,pending
143,715,719,5,pending
144,720,724,5,pending
145,725,729,5,pending
146,730,734,5,pending
147,735,739,5,pending
148,740,744,5,pending
149,745,749,5,pending
150,750,754,5,pending
151,755,759,5,pending
152,760,764,5,pending
153,765,769,5,pending
154,770,774,5,pending
155,775,779,5,pending
156,780,784,5,pending
157,785,789,5,pending
158,790,794,5,pending
159,795,799,5,pending
160,800,804,5,pending
161,805,809,5,pending
162,810,814,5,pending
163,815,819,5,pending
164,820,824,5,pending
165,825,829,5,pending
166,830,834,5,pending
167,835,839,5,pending
168,840,844,5,pending
169,845,849,5,pending
170,850,854,5,pending
171,855,859,5,pending
172,860,864,5,pending
173,865,869,5,pending
174,870,874,5,pending
175,875,879,5,pending
176,880,884,5,pending
177,885,889,5,pending
178,890,894,5,pending
179,895,899,5,pending
180,900,904,5,pending
181,905,909,5,pending
182,910,914,5,pending
183,915,919,5,pending
184,920,924,5,pending
185,925,929,5,pending
186,930,934,5,pending
187,935,939,5,pending
188,940,944,5,pending
189,945,949,5,pending
190,950,954,5,pending
191,955,959,5,pending
192,960,964,5,pending
193,965,969,5,pending
194,970,974,5,pending
195,975,979,5,pending
196,980,984,5,pending
197,985,989,5,pending
198,990,994,5,pending
199,995,999,5,pending
200,1000,1004,5,pending
201,1005,1009,5,pending
202,1010,1014,5,pending
203,1015,1019,5,pending
204,1020,1024,5,pending
205,1025,1029,5,pending
206,1030,1034,5,pending
207,1035,1039,5,pending
208,1040,1044,5,pending
209,1045,1049,5,pending
210,1050,1054,5,pending
211,1055,1059,5,pending
212,1060,1064,5,pending
213,1065,1069,5,pending
214,1070,1074,5,pending
215,1075,1079,5,pending
216,1080,1084,5,pending
217,1085,1089,5,pending
218,1090,1094,5,pending
219,1095,1099,5,pending
220,1100,1104,5,pending
221,1105,1109,5,pending
222,1110,1114,5,pending
223,1115,1119,5,pending
224,1120,1124,5,pending
225,1125,1129,5,pending
226,1130,1134,5,pending
227,1135,1139,5,pending
228,1140,1144,5,pending
229,1145,1149,5,pending
230,1150,1154,5,pending
231,1155,1159,5,pending
232,1160,1164,5,pending
233,1165,1169,5,pending
234,1170,1174,5,pending
235,1175,1179,5,pending
236,1180,1184,5,pending
237,1185,1189,5,pending
238,1190,1194,5,pending
239,1195,1199,5,pending
240,1200,1204,5,pending
241,1205,1209,5,pending
242,1210,1214,5,pending
243,1215,1219,5,pending
