CELEX,chunk_id,chunk_number,chunk_text
31981R0653,31981R0653_0,0,"13 . 3 . 81 Official Journal of the European Communities No L 68/47 COMMISSION REGULATION (EEC) No 653/81 of 12 March 1981 altering the import levies on products processed from cereals and rice  in the case of currencies which are maintained in relation to each other at any given moment within a band of 2-25 % , a rate of exchange based on their effective parity,  for other currencies, an exchange rate based on the arithmetic mean of the spot market rates of each of these currencies in relation to the Community currencies referred to in the previous indent ; Whereas these exchange rates being those recorded on 1 1 March 1981 ; Whereas the levy on the basic product as last fixed differs from the average levy by more than 3-02 ECU per tonne of basic product ; whereas, pursuant to Article 1 of Regulation (EEC) No 1 579/74 (8), the levies at present in force must therefore be altered to the amounts set out in the Annex hereto, THE COMMISSION OF THE EUROPEAN COMMUNITIES, Having regard to the Treaty establishing the European Economic Community, Having regard to Council Regulation (EEC) No 2727/75 of 29 October 1975 on the common organi ­ zation of the market in cereals ('), as last amended by the Act of Accession of Greece (2), and in particular Article 14 (4) thereof, Having regard to Council Regulation (EEC) No 1418/76 of 21 June 1976 on the common organization of the market in rice (3), as last amended by the Act of Accession of Greece , and in particular Article 12 (4) thereof, Having regard to Council Regulation No 129 on the value of the unit of account and the exchange rates to be applied for the purposes of the common agricul ­ tural policy (4), as last amended by Regulation (EEC) No 2543/73 0, and in particular Article 3 thereof, Having regard to the advice of the Monetary Committee, Whereas the import levies on products processed from cereals and rice were fixed by Regulation (EEC) No 492/81 (6), as last amended by Regulation (EEC) No 636/81 0 ; Whereas, if th"
31981R0653,31981R0653_1,1,"Monetary Committee, Whereas the import levies on products processed from cereals and rice were fixed by Regulation (EEC) No 492/81 (6), as last amended by Regulation (EEC) No 636/81 0 ; Whereas, if the levy system is to operate normally, levies should be calculated on the following basis : HAS ADOPTED THIS REGULATION : Article 1 The import levies to be charged on products processed from cereals and rice covered by Regulation (EEC) No 2744/75 (9), as last amended by Regulation (EEC) No 2245/78 ( l0), as fixed in the Annex to amended Regula ­ tion (EEC) No 492/81 are hereby altered to the amounts set out in the Annex hereto. Article 2 This Regulation shall enter into force on 13 March 1981 . This Regulation shall be binding in its entirety and directly applicable in all Member States . Done at Brussels , 12 March 1981 . For the Commission Poul DALSAGER Member of the Commission (') OJ No L 281 , 1 . 11 . 1975, p . 1 . 0 OJ No L 291 , 19 . 11 . 1979, p . 17 . 0 OJ No L 166, 25 . 6 . 1976, p . 1 . 0 OJ No 106, 30 . 10 . 1962, p . 2553/62. 0 OJ No L 263 , 19 . 9 . 1973 , p . 1 . ( 6) OJ No L 52, 27. 2 . 1981 , p . 24 . 0 OJ No L 67, 12. 3 . 1981 , p . 24 . (*) OJ No L 168 , 25 . 6 . 1974, p . 7 . O OJ No L 281 , 1 . 11 . 1975, p . 65 . H Ã J No L 273, 29 . 9 . 1978 , p . 1 . No L 68/48 Official Journal of the European Communities 13 . 3 . 81 ANNEX to the Commission Regulation of 12 March 1981 altering the import levies on products processed from cereals and rice CCT heading No Levies in ECU/tonne Third countries (other than ACP or OCT) ACP or OCT 11.01 G (2 ) 55-88 52-86 11.02 A VII (2 ) 55-88 52-86 11.02 B II d) (2 ) 85-93 82-91 11.02 C VI (2 ) 85-93 82-91 11.02 D VI ( 2 ) 55-88 52-86 11.02 E II d) 2 (2 ) 99-32 93-28 11.02 F VII (2 ) 55-88 52-86 (2 ) For the purpose of distinguishing between products falling within heading Nos 11.01 and 11.02 and those falling within subheading 23.02 A, products falling within heading Nos 1 1.01 and 1 1.02 shall be those meeting the fo"
31981R0653,31981R0653_2,2,"tinguishing between products falling within heading Nos 11.01 and 11.02 and those falling within subheading 23.02 A, products falling within heading Nos 1 1.01 and 1 1.02 shall be those meeting the following specifications :  a starch content (determined by the modified Ewers polarimetric method), referred to dry matter, exceeding 45 % by weight,  an ash content, by weight, referred to dry matter (after deduction of any added minerals), not exceeding 1 -6 % for rice , 2-5 % for wheat, 3 % for barley, 4 % for buckwheat , 5 % for oats and 2 % for other cereals . Germ of cereals , whole , rolled, flaked or ground , falls in all cases within heading No 11.02 ."
31985R1238,31985R1238_0,0,"15. 5 . 85 Official Journal of the European Communities No L 129/ 1 I (Acts whose publication is obligatory) COUNCIL REGULATION (EEC) No 1238/85 of 13 May 1985 amending the definitive anti-dumping duty on imports of certain ball bearings originating in Japan and exported by Nippon Seiko KK and others Whereas an error in the computation of this duty has been discovered which makes it necessary to amend this rate of duty ; whereas the corrected rate of the definitive anti-dumping duty on imports of the above ­ mentioned ball bearings exported by Nippon Seiko KK and the other exporters in question is 14,45 % of the net, free-at-Community-frontier, price before duty, HAS ADOPTED THIS REGULATION : Article 1 In Article 1 (2) of Regulation (EEC) No 2089/84 : THE COUNCIL OF THE EUROPEAN COMMUNITIES, Having regard to the Treaty establishing the European Economic Community, Having regard to Council Regulation (EEC) No 2176/84 of 23 July 1984 on protection against dumped or subsidized imports from countries not members of the European Economic Community ('), and in particular Article 12 thereof, Having regard to the proposal submitted by the Commission, Whereas the Council , by Regulation (EEC) No 2089/84 (2), imposed a definitive anti-dumping duty on imports of single-row deep-groove radial ball bearings with greatest external diameter not more than 30 mm, originating in Japan and Singapore ; Whereas the rate of the definitive anti-dumping duty imposed on the abovementioned ball bearings exported by Nippon Seiko KK and by other exporters or potential exporters not named in the said Regula ­ tion was 14,71 % of the net, free-at-Community ­ frontier, price before duty ; 14,71 % 14,71 % ' 14,45 % 14,45 %'. '  Nippon Seiko KK  Others is replaced by : '  Nippon Seiko KK  Others Article 2 This Regulation shall enter into force on the day of its publication in the Official Journal of the European Communities. It shall apply with effect from 22 July 1984. This Regulation shall be"
31985R1238,31985R1238_1,1,"ticle 2 This Regulation shall enter into force on the day of its publication in the Official Journal of the European Communities. It shall apply with effect from 22 July 1984. This Regulation shall be binding in its entirety and directly applicable in all Member States. Done at Brussels, 13 May 1985. For the Council The President F.M. PANDOLFI (') OJ No L 201 , 30. 7. 1984, p . 1 . (2) OJ No L 193, 21 . 7. 1984, p . 1 ."
31996D0319,31996D0319_0,0,"Avis juridique important|31996D031996/319/EC: Commission Decision of 20 December 1995 refusing Belgium's application for protective measures with regard to pharmaceutical products coming from Spain (Only the French and Dutch texts are authentic) Official Journal L 122 , 22/05/1996 P. 0021 - 0021COMMISSION DECISION of 20 December 1995 refusing Belgium's application for protective measures with regard to pharmaceutical products coming from Spain (Only the French and Dutch texts are authentic) (96/319/EC)THE COMMISSION OF THE EUROPEAN COMMUNITIES,Having regard to the Treaty establishing the European Community,Having regard to the Act of Accession of Spain and Portugal, and in particular Article 379 thereof,Having regard to the application by Belgium,Whereas Belgium, by letter of 6 October 1995, applied to the Commission for authorization to invoke Article 379 of the Act of Accession for safeguard measures, aimed at refusing the import into Belgium of pharmaceutical products coming from Spain, which are protected in Belgium by a product patent but not in Spain;Whereas in their request, the Belgian authorities provided the Commission with the material facts to enable it to evaluate the validity of the application;Whereas the Belgian authorities base their application upon the economic difficulties to which the pharmaceutical products market in Belgium would, according to them, be subjected as a result of the expiry of the transitional period provided for by Article 47 of the Act of Accession, namely as from 7 October 1995; whereas they argue that since the price of pharmaceuticals on the Spanish market is lower than observed price for the same speciality products on the Belgian market, the expiry of the transitional period will lead to an appreciable increase in parallel imports from Spain into Belgium; whereas this increase will also damage parts of the market shared by Belgian operators in the export market;Whereas Article 379 derogates from a fundamental principle of "
31996D0319,31996D0319_1,1,"orts from Spain into Belgium; whereas this increase will also damage parts of the market shared by Belgian operators in the export market;Whereas Article 379 derogates from a fundamental principle of the EC Treaty, that of the free movement of goods; whereas consequently in accordance with the well-established case-law of the Court of Justice it should be restrictively interpreted;Whereas consequently, in accordance with that case-law and with the established practice of the Commission in the past, Article 379 cannot apply;Whereas the purpose of Article 379 is to rectify and adjust to the economy of the common market a given economic sector experiencing economic difficulties which are serious and liable to persist;Whereas an analysis of the economic data provided by the Belgian authorities has shown that the conditions for the application of Article 379 are not fulfilled; whereas, more particularly, it has revealed that the Belgian pharmaceutical industry is not experiencing economic difficulties which are serious and liable to persist; whereas an increase in the volume of imports coming from Spain of pharmaceutical products patented in Belgium but not in Spain would not appear to be so significant in the long run as to bring about, by itself, serious economic difficulties on the Belgian pharmaceutical market,HAS ADOPTED THIS DECISION:Article 1 The application for safeguard measures made by Belgium under Article 379 of the Act of Accession, aimed at refusing the import into Belgium of pharmaceutical products coming from Spain, which are protected by a product patent in Belgium but not in Spain, is rejected.Article 2 This Decision is addressed to the Kingdom of Belgium.Done at Brussels, 20 December 1995.For the CommissionMario MONTIMember of the Commission"
32006R0336,32006R0336_0,0,"4.3.2006 EN Official Journal of the European Union L 64/1 REGULATION (EC) No 336/2006 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 15 February 2006 on the implementation of the International Safety Management Code within the Community and repealing Council Regulation (EC) No 3051/95 (Text with EEA relevance) THE EUROPEAN PARLIAMENT AND THE COUNCIL OF THE EUROPEAN UNION, Having regard to the Treaty establishing the European Community, and in particular Article 80(2) thereof, Having regard to the proposal from the Commission, Having regard to the opinion of the European Economic and Social Committee (1), After consulting the Committee of the Regions, Acting in accordance with the procedure laid down in Article 251 of the Treaty (2), Whereas: (1) The International Management Code for the Safe Operation of Ships and for Pollution Prevention, hereinafter referred to as the ISM Code, was adopted by the International Maritime Organisation (IMO) in 1993. This Code gradually became mandatory for most ships sailing on international voyages with the adoption in May 1994 of Chapter IX Management for the Safe Operation of Ships of the International Convention for the Safety of Life at Sea (SOLAS), 1974. (2) The ISM Code was amended by the IMO by Resolution MSC.104(73), adopted on 5 December 2000. (3) Guidelines on Implementation of the ISM Code by Administrations were adopted by IMO Resolution A.788(19) on 23 November 1995. These Guidelines were amended by Resolution A.913(22), adopted on 29 November 2001. (4) Council Regulation (EC) No 3051/95 of 8 December 1995 on the safety management of roll-on/roll-off passenger ferries (ro-ro ferries) (3) made the ISM Code mandatory at Community level with effect from 1 July 1996 for all ro-ro passenger ferries operating on a regular service to and from ports of the Member States, on both domestic and international voyages and regardless of their flag. This was a first step towards ensuring uniform and coherent implementation of the IS"
32006R0336,32006R0336_1,1,"ce to and from ports of the Member States, on both domestic and international voyages and regardless of their flag. This was a first step towards ensuring uniform and coherent implementation of the ISM Code in all Member States. (5) On 1 July 1998 the ISM Code became mandatory under the provisions of Chapter IX of SOLAS for companies operating passenger ships, including high-speed passenger craft, oil tankers, chemical tankers, gas carriers, bulk carriers and cargo high-speed craft of 500 gross tonnage and upwards, on international voyages. (6) On 1 July 2002 the ISM Code became mandatory for companies operating other cargo ships and mobile offshore drilling units of 500 gross tonnage and upwards, on international voyages. (7) The safety of human life at sea and the protection of the environment may be effectively enhanced by applying the ISM Code strictly and on a mandatory basis. (8) It is desirable to apply directly the ISM Code to ships flying the flag of a Member State as well as to ships, regardless of their flag, engaged exclusively on domestic voyages or on a regular shipping service operating to or from ports of the Member States. (9) The adoption of a new Regulation with direct applicability should ensure the enforcement of the ISM Code on the understanding that it is left to the Member States to decide whether to implement the Code for ships, regardless of their flag, operating exclusively in port areas. (10) Consequently, Regulation (EC) No 3051/95 should be repealed. (11) If a Member State considers it difficult in practice for companies to comply with specific provisions of Part A of the ISM Code for certain ships or categories of ships exclusively engaged on domestic voyages in that Member State, it may derogate wholly or partly from those provisions by imposing measures ensuring equivalent achievement of the objectives of the Code. It may, for such ships and companies, establish alternative certification and verification procedures. (12) It is necess"
32006R0336,32006R0336_2,2,"mposing measures ensuring equivalent achievement of the objectives of the Code. It may, for such ships and companies, establish alternative certification and verification procedures. (12) It is necessary to take into account Council Directive 95/21/EC of 19 June 1995 on port State control of shipping (4). (13) It is also necessary to take into account Council Directive 94/57/EC of 22 November 1994 on common rules and standards for ship inspection and survey organisations and for the relevant activities of maritime administrations (5), in order to define the recognised organisations for the purpose of this Regulation, and Council Directive 98/18/EC of 17 March 1998 on safety rules and standards for passenger ships (6), for the purpose of establishing the scope of application of this Regulation as regards passenger ships engaged on domestic voyages. (14) The measures necessary for amending Annex II should be adopted in accordance with Council Decision 1999/468/EC of 28 June 1999 laying down the procedures for the exercise of implementing powers conferred on the Commission (7). (15) Since the objectives of this Regulation, namely to enhance the safety management and safe operation of ships as well as the prevention of pollution from ships, cannot be sufficiently achieved by the Member States and can therefore be better achieved at Community level, the Community may adopt measures, in accordance with the principle of subsidiarity as set out in Article 5 of the Treaty. In accordance with the principle of proportionality, as set out in that Article, this Regulation does not go beyond what is necessary in order to achieve those objectives, HAVE ADOPTED THIS REGULATION: Article 1 Objective The objective of this Regulation is to enhance the safety management and safe operation of ships as well as the prevention of pollution from ships, referred to in Article 3(1), by ensuring that companies operating those ships comply with the ISM Code by means of: (a) the establishment, im"
32006R0336,32006R0336_3,3,"f ships as well as the prevention of pollution from ships, referred to in Article 3(1), by ensuring that companies operating those ships comply with the ISM Code by means of: (a) the establishment, implementation and proper maintenance by companies of the shipboard and shore-based safety management systems; and (b) the control thereof by flag and port State administrations. Article 2 Definitions For the purpose of this Regulation the following definitions shall apply: (1) the ISM Code means the International Management Code for the Safe Operation of Ships and for Pollution Prevention adopted by the International Maritime Organisation by Assembly Resolution A.741(18) of 4 November 1993, as amended by Maritime Safety Committee Resolution MSC.104(73) of 5 December 2000 and set out in Annex I to this Regulation, in its up-to-date version; (2) recognised organisation means a body recognised in accordance with Directive 94/57/EC; (3) company means the owner of the ship or any other organisation or person, such as the manager or the bareboat charterer, who has assumed responsibility for the operation of the ship from the shipowner and who, on assuming such responsibility, has agreed to take over all the duties and responsibilities imposed by the ISM Code; (4) passenger ship means a ship, including a high-speed craft, carrying more than 12 passengers, or a passenger submersible craft; (5) passenger means every person other than: (a) the master and the members of the crew or other persons employed or engaged in any capacity on board a ship on the business of that ship; and (b) a child under one year of age; (6) high-speed craft means a high-speed craft as defined in Regulation X-1/2 of SOLAS, in its up-to-date version. For high-speed passenger craft, the limitations indicated in Article 2(f) of Directive 98/18/EC shall apply; (7) cargo ship means a ship, including a high-speed craft, which is not a passenger ship; (8) international voyage means a voyage by sea from a port of"
