batch_id,chunk_id,CELEX,ontology
0,32019D0276_0,32019D0276,"{""ontology_name"": ""Migration_Flexibility_Instrument"", ""description"": ""Ontology for the Flexibility Instrument to address migration, refugee inflows, and security threats"", ""odrl_alignment"": {""core_entities"": [""Asset"", ""Party"", ""Permission"", ""Duty"", ""Constraint""], ""extensions"": [""LegalInstrument"", ""Regulation""]}, ""classes"": [{""name"": ""FlexibilityInstrument"", ""type"": ""ODRL_core"", ""description"": ""A Flexibility Instrument used to finance measures addressing migration, refugee inflows, and security threats""}], ""relationships"": [{""source"": ""FlexibilityInstrument"", ""relation"": ""appliesTo"", ""target"": ""MigrationMeasures""}], ""rights_model"": {""permissions"": [{""action"": ""use_flexibility_instrument"", ""asset"": ""MigrationMeasures"", ""party"": ""EuropeanParliamentAndCouncil"", ""constraints"": [{""name"": ""flexibility_ceiling"", ""value"": ""EUR 600 000 000 (2011 prices)""}]}], ""duties"": [{""action"": ""mobilise_flexibility_instrument"", ""party"": ""EuropeanParliamentAndCouncil"", ""constraints"": [{""name"": ""urgency"", ""value"": ""a matter of urgency""}]}]}, ""legal_patterns"": [{""pattern_name"": ""MobilisationOfFlexibilityInstrument"", ""description"": ""The European Parliament and Council mobilise the Flexibility Instrument to address migration, refugee inflows, and security threats"", ""entities_involved"": [""EuropeanParliamentAndCouncil"", ""MigrationMeasures""]}], ""example_instances"": [{""entity"": ""MigrationMeasures"", ""example_value"": ""THE EUROPEAN PARLIAMENT AND THE COUNCIL OF THE EUROPEAN UNION, Having regard to the proposal from the European Commission, Whereas, (1) The Flexibility Instrument is intended to allow the financing of clearly identified expenditure which could not be financed within the limits of the ceilings available for one or more other headings. (2) The ceiling on the annual amount available for the Flexibility Instrument is EUR 600 000 000 (2011 prices), as laid down in Article 11 of Council Regulation (EU, Euratom) No 1311/2013 (2) increased, where applicable, by lapsed amounts made available in accordance with the second subparagraph of paragraph 1 of that Article."", ""source_context"": ""THE EUROPEAN PARLIAMENT AND THE COUNCIL OF THE EUROPEAN UNION, Having regard to the proposal from the European Commission, Whereas, (1) The Flexibility Instrument is intended to allow the financing of clearly identified expenditure which could not be financed within the limits of the ceilings available for one or more other headings. (2) The ceiling on the annual amount available for the Flexibility Instrument is EUR 600 000 000 (2011 prices), as laid down in Article 11 of Council Regulation (EU, Euratom) No 1311/2013 (2) increased, where applicable, by lapsed amounts made available in accordance with the second subparagraph of paragraph 1 of that Article.""}]}"
0,32019D0276_1,32019D0276,"{""ontology_name"": ""EU_Financing_Decision_Ontology"", ""description"": ""An ontology for the EU Financing Decision related to the Flexibility Instrument for the Union's budget for 2019."", ""odrl_alignment"": {""core_entities"": [""Asset"", ""Party"", ""Permission"", ""Duty"", ""Constraint""], ""extensions"": [""LegalInstrument"", ""Regulation""]}, ""classes"": [{""name"": ""FlexibilityInstrument"", ""type"": ""ODRL_core"", ""description"": ""A financial instrument used to supplement the Union's budget for specific purposes.""}, {""name"": ""KeyProgramme"", ""type"": ""ODRL_core"", ""description"": ""A program that benefits from the Flexibility Instrument for the purpose of enhancing competitiveness.""}, {""name"": ""MigrationMeasures"", ""type"": ""ODRL_core"", ""description"": ""Measures related to migration, refugees, and security threats.""}], ""relationships"": [{""source"": ""FlexibilityInstrument"", ""relation"": ""appliesTo"", ""target"": ""KeyProgramme"", ""description"": ""The Flexibility Instrument is used to support key programs for the competitiveness of the EU.""}, {""source"": ""FlexibilityInstrument"", ""relation"": ""appliesTo"", ""target"": ""MigrationMeasures"", ""description"": ""The Flexibility Instrument is used to finance measures addressing migration, refugee inflows, and security threats.""}], ""rights_model"": {""permissions"": [{""action"": ""use_flexibility_instrument"", ""asset"": ""FlexibilityInstrument"", ""party"": ""Union"", ""constraints"": [{""name"": ""financial_year"", ""value"": ""2019""}, {""name"": ""amount"", ""value"": ""EUR 178,715,475""}]}, {""action"": ""use_flexibility_instrument"", ""asset"": ""FlexibilityInstrument"", ""party"": ""Union"", ""constraints"": [{""name"": ""financial_year"", ""value"": ""2020""}, {""name"": ""amount"", ""value"": ""EUR 257,223,207""}]}, {""action"": ""use_flexibility_instrument"", ""asset"": ""FlexibilityInstrument"", ""party"": ""Union"", ""constraints"": [{""name"": ""financial_year"", ""value"": ""2021""}, {""name"": ""amount"", ""value"": ""EUR 135,194,558""}]}, {""action"": ""use_flexibility_instrument"", ""asset"": ""FlexibilityInstrument"", ""party"": ""Union"", ""constraints"": [{""name"": ""financial_year"", ""value"": ""2022""}, {""name"": ""amount"", ""value"": ""EUR 140,942,662""}]}, {""action"": ""use_flexibility_instrument"", ""asset"": ""FlexibilityInstrument"", ""party"": ""Union"", ""constraints"": [{""name"": ""financial_year"", ""value"": ""2023""}, {""name"": ""amount"", ""value"": ""EUR 82,243,352""}]}], ""duties"": [{""action"": ""authorise_payment_appropriations"", ""party"": ""Union"", ""constraints"": [{""name"": ""financial_year"", ""value"": ""2019""}, {""name"": ""amount"", ""value"": ""EUR 548,740,834""}]}, {""action"": ""authorise_payment_appropriations"", ""party"": ""Union"", ""constraints"": [{""name"": ""financial_year"", ""value"": ""2020""}, {""name"": ""amount"", ""value"": ""EUR 257,223,207""}]}, {""action"": ""authorise_payment_appropriations"", ""party"": ""Union"", ""constraints"": [{""name"": ""financial_year"", ""value"": ""2021""}, {""name"": ""amount"", ""value"": ""EUR 135,194,558""}]}, {""action"": ""authorise_payment_appropriations"", ""party"": ""Union"", ""constraints"": [{""name"": ""financial_year"", ""value"": ""2022""}, {""name"": ""amount"", ""value"": ""EUR 140,942,662""}]}, {""action"": ""authorise_payment_appropriations"", ""party"": ""Union"", ""constraints"": [{""name"": ""financial_year"", ""value"": ""2023""}, {""name"": ""amount"", ""value"": ""EUR 82,243,352""}]}]}, ""legal_patterns"": [{""pattern_name"": ""FlexibilityInstrumentUsagePattern"", ""description"": ""The Flexibility Instrument is used to allocate funds to key programs and measures related to migration, refugees, and security threats."", ""entities_involved"": [""FlexibilityInstrument"", ""KeyProgramme"", ""MigrationMeasures""]}], ""example_instances"": [{""entity"": ""FlexibilityInstrument"", ""example_value"": ""EUR 178,715,475 in commitment appropriations in heading 1a (Competitiveness for growth and jobs) and EUR 985,629,138 in commitment appropriations in heading 3 (Security and Citizenship)."", ""source_context"": ""Article 1""}, {""entity"": ""MigrationMeasures"", ""example_value"": ""EUR 985,629,138 to finance measures in the field of migration, refugees and security."", ""source_context"": ""Article 1""}]}"
0,32019D0276_2,32019D0276,"{""ontology_name"": ""EU_Decision_Ontology"", ""description"": ""Legal rights, duties, and constraints related to EU Decision"", ""odrl_alignment"": {""core_entities"": [""Asset"", ""Party"", ""Permission"", ""Duty"", ""Constraint""], ""extensions"": [""LegalInstrument"", ""Regulation""]}, ""classes"": [{""name"": ""Decision"", ""type"": ""ODRL_core"", ""description"": ""A legal decision made by the European Union""}], ""relationships"": [{""source"": ""Decision"", ""relation"": ""appliesTo"", ""target"": ""LegalInstrument"", ""description"": ""A Decision applies to a related Legal Instrument""}], ""rights_model"": {""permissions"": [{""action"": ""calculate_import_duty"", ""asset"": ""Decision"", ""party"": ""TargetParty"", ""constraints"": [{""name"": ""effective_date"", ""value"": ""2018-12-12""}, {""name"": ""valid_period"", ""value"": ""2019-01-01""}]}], ""duties"": [{""action"": ""calculate_import_duty"", ""party"": ""ResponsibleParty"", ""constraints"": []}]}, ""legal_patterns"": [{""pattern_name"": ""Decision_ApplyTo_LegalInstrument"", ""description"": ""A Decision applies to a related Legal Instrument"", ""entities_involved"": [""Decision"", ""LegalInstrument""]}], ""example_instances"": [{""entity"": ""Decision"", ""example_value"": ""This Decision shall enter into force on the day of its publication in the Official Journal of the European Union. It shall apply from 1 January 2019."", ""source_context"": ""Article 2 This Decision shall enter into force on the day of its publication in the Official Journal of the European Union. It shall apply from 1 January 2019.""}]}"
0,32019D0277_0,32019D0277,"{""ontology_name"": ""EU_Solidarity_Fund_Ontology"", ""description"": ""An ontology for the mobilization of the European Union Solidarity Fund"", ""odrl_alignment"": {""core_entities"": [""Asset"", ""Party"", ""Permission"", ""Duty"", ""Constraint""], ""extensions"": [""LegalInstrument"", ""Regulation""]}, ""classes"": [{""name"": ""SolidarityFund"", ""type"": ""ODRL_core"", ""description"": ""Represents the European Union Solidarity Fund""}, {""name"": ""Decision"", ""type"": ""ODRL_core"", ""description"": ""Represents the Decision (EU) 2019/277""}], ""relationships"": [{""source"": ""Decision"", ""relation"": ""appliesTo"", ""target"": ""SolidarityFund"", ""description"": ""The Decision applies to the Solidarity Fund""}], ""rights_model"": {""permissions"": [{""action"": ""mobilise_fund"", ""asset"": ""SolidarityFund"", ""party"": ""EuropeanParliamentAndTheCouncil"", ""constraints"": [{""name"": ""amount"", ""value"": ""EUR 50 000 000""}, {""name"": ""timeframe"", ""value"": ""from the beginning of the 2019 financial year""}]}], ""duties"": [{""action"": ""apply_for_fund"", ""party"": ""EuropeanCommission"", ""constraints"": []}]}, ""legal_patterns"": [{""pattern_name"": ""FundMobilizationPattern"", ""description"": ""Pattern for mobilizing the European Union Solidarity Fund"", ""entities_involved"": [""SolidarityFund"", ""EuropeanParliamentAndTheCouncil"", ""EuropeanCommission""]}], ""example_instances"": [{""entity"": ""Decision"", ""example_value"": ""DECISION (EU) 2019/277"", ""source_context"": ""DECISION (EU) 2019/277 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 12 December 2018 on the mobilisation of the European Union Solidarity Fund to provide for the payment of advances in the general budget of the Union for 2019""}]}"
0,32019D0277_1,32019D0277,"{""ontology_name"": ""EU_Solidarity_Fund_Decision_2019"", ""description"": ""Ontology for the European Union Solidarity Fund Decision 2019"", ""odrl_alignment"": {""core_entities"": [""Asset"", ""Party"", ""Permission"", ""Duty"", ""Constraint""], ""extensions"": [""LegalInstrument"", ""Regulation""]}, ""classes"": [{""name"": ""SolidarityFund"", ""type"": ""ODRL_core"", ""description"": ""Represents the European Union Solidarity Fund""}], ""relationships"": [{""source"": ""SolidarityFund"", ""relation"": ""appliesTo"", ""target"": ""2019_Financial_Year""}], ""rights_model"": {""permissions"": [{""action"": ""mobilise_fund"", ""asset"": ""SolidarityFund"", ""party"": ""European_Union"", ""constraints"": [{""name"": ""from"", ""value"": ""1_January_2019""}]}], ""duties"": [{""action"": ""apply_from"", ""party"": ""European_Union"", ""constraints"": [{""name"": ""from"", ""value"": ""1_January_2019""}]}]}, ""legal_patterns"": [{""pattern_name"": ""SolidarityFund_Mobilisation"", ""description"": ""The process of mobilising the Solidarity Fund for the 2019 financial year"", ""entities_involved"": [""SolidarityFund"", ""European_Union""]}], ""example_instances"": [{""entity"": ""SolidarityFund"", ""example_value"": ""For the general budget of the Union for the financial year 2019, the European Union Solidarity Fund shall be mobilised to provide the amount of EUR 50 000 000 in commitment and payment appropriations for the payment of advances."", ""source_context"": ""Article 1""}, {""entity"": ""2019_Financial_Year"", ""example_value"": ""This Decision shall enter into force on the day following that of its publication in the Official Journal of the European Union. It shall apply from 1 January 2019."", ""source_context"": ""Article 2""}]}"
1,32019D0275_0,32019D0275,"{""ontology_name"": ""EGF_Mobilization_Ontology"", ""description"": ""Ontology for the mobilization of the European Globalisation Adjustment Fund (EGF) following an application from Greece"", ""odrl_alignment"": {""core_entities"": [""Asset"", ""Party"", ""Permission"", ""Duty"", ""Constraint""], ""extensions"": [""LegalInstrument"", ""Regulation""]}, ""classes"": [{""name"": ""EGF_Mobilization"", ""type"": ""ODRL_core"", ""description"": ""Represents the mobilization of the EGF following an application from Greece""}], ""relationships"": [{""source"": ""EGF_Mobilization"", ""relation"": ""appliesTo"", ""target"": ""EGF"", ""description"": ""EGF Mobilization applies to the EGF""}], ""rights_model"": {""permissions"": [{""action"": ""use_egf_funds"", ""asset"": ""EGF"", ""party"": ""EuropeanParliamentAndCouncil"", ""constraints"": [{""name"": ""amount_limit"", ""value"": ""EUR 150 million (2011 prices)""}]}], ""duties"": [{""action"": ""review_application"", ""party"": ""EuropeanCommission"", ""constraints"": []}]}, ""legal_patterns"": [{""pattern_name"": ""EGF_Application_Process"", ""description"": ""The process of applying for and mobilizing the EGF following the submission of an application from Greece"", ""entities_involved"": [""EuropeanParliamentAndCouncil"", ""EuropeanCommission"", ""Greece""]}], ""example_instances"": [{""entity"": ""EGF_Mobilization"", ""example_value"": ""DECISION (EU) 2019/275 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 11 December 2018 on the mobilisation of the European Globalisation Adjustment Fund following an application from Greece"", ""source_context"": ""THE EUROPEAN PARLIAMENT AND THE COUNCIL OF THE EUROPEAN UNION, Having regard to the Treaty on the Functioning of the European Union, Having regard to Regulation (EU) No 1309/2013 of the European Parliament and of the Council of 17 December 2013 on the European Globalisation Adjustment Fund (2014-2020) and repealing Regulation (EC) No 1927/2006 (1), and in particular Article 15(4) thereof, Having regard to the Interinstitutional Agreement of 2 December 2013 between the European Parliament, the Council and the Commission on budgetary discipline, on cooperation in budgetary matters and on sound financial management (2), and in particular point 13 thereof, Having regard to the proposal from the European Commission, Whereas:""}]}"
1,32019D0275_1,32019D0275,"{""ontology_name"": ""EGF_Mobilization_Ontology"", ""description"": ""An ontology for the mobilization of the European Globalization Adjustment Fund (EGF) as per Regulation (EU) No 1309/2013."", ""odrl_alignment"": {""core_entities"": [""Asset"", ""Party"", ""Permission"", ""Duty"", ""Constraint""], ""extensions"": [""LegalInstrument"", ""Regulation""]}, ""classes"": [{""name"": ""EGF_Mobilization"", ""type"": ""ODRL_core"", ""description"": ""A mobilization of the European Globalization Adjustment Fund (EGF) as per Regulation (EU) No 1309/2013.""}], ""relationships"": [{""source"": ""EGF_Mobilization"", ""relation"": ""appliesTo"", ""target"": ""Article_1"", ""description"": ""EGF_Mobilization applies to the mobilization of the EGF as per Article 1 of the Decision.""}, {""source"": ""EGF_Mobilization"", ""relation"": ""appliesTo"", ""target"": ""Article_2"", ""description"": ""EGF_Mobilization applies to the application of the Decision as per Article 2 of the Decision.""}], ""rights_model"": {""permissions"": [{""action"": ""calculate_financial_contribution"", ""asset"": ""EGF_Mobilization"", ""party"": ""Greece"", ""constraints"": [{""name"": ""date_of_adoption"", ""value"": ""11 December 2018""}]}, {""action"": ""apply_for_mobilization"", ""asset"": ""EGF_Mobilization"", ""party"": ""European_Union"", ""constraints"": [{""name"": ""date_of_adoption"", ""value"": ""11 December 2018""}, {""name"": ""publication_date"", ""value"": ""publication in the Official Journal of the European Union""}]}], ""duties"": [{""action"": ""mobilize_EGF"", ""party"": ""European_Union"", ""constraints"": [{""name"": ""date_of_mobilization"", ""value"": ""11 December 2018""}]}]}, ""legal_patterns"": [{""pattern_name"": ""EGF_Mobilization_Process"", ""description"": ""The process of mobilizing the EGF as per Article 1 and Article 2 of the Decision."", ""entities_involved"": [""EGF_Mobilization"", ""Article_1"", ""Article_2""]}], ""example_instances"": [{""entity"": ""EGF_Mobilization"", ""example_value"": ""Article 1 of the Decision"", ""source_context"": ""Article 1: For the general budget of the Union for the financial year 2018, the European Globalization Adjustment Fund shall be mobilised to provide the amount of EUR 2 308 500 in commitment and payment appropriations.""}, {""entity"": ""EGF_Mobilization"", ""example_value"": ""Article 2 of the Decision"", ""source_context"": ""Article 2: This Decision shall enter into force on the day of its publication in the Official Journal of the European Union. It shall apply from 11 December 2018.""}]}"
1,32018D1859_0,32018D1859,"{""ontology_name"": ""EU_Solidarity_Fund_Ontology"", ""description"": ""Ontology for the mobilization of the European Union Solidarity Fund"", ""odrl_alignment"": {""core_entities"": [""Asset"", ""Party"", ""Permission"", ""Duty"", ""Constraint""], ""extensions"": [""LegalInstrument"", ""Regulation""]}, ""classes"": [{""name"": ""Decision"", ""type"": ""ODRL_core"", ""description"": ""A decision made by the European Parliament and Council""}, {""name"": ""Application"", ""type"": ""ODRL_core"", ""description"": ""An application submitted by a region for the mobilization of the Solidarity Fund""}, {""name"": ""FinancialContribution"", ""type"": ""ODRL_core"", ""description"": ""A financial contribution provided by the Solidarity Fund to a region""}], ""relationships"": [{""source"": ""Decision"", ""relation"": ""appliesTo"", ""target"": ""Application"", ""description"": ""A decision applies to an application for mobilizing the Solidarity Fund""}, {""source"": ""Decision"", ""relation"": ""appliesTo"", ""target"": ""FinancialContribution"", ""description"": ""A decision applies to a financial contribution provided by the Solidarity Fund""}], ""rights_model"": {""permissions"": [{""action"": ""mobilize_fund"", ""asset"": ""Solidarity_Fund"", ""party"": ""European_Parliament_and_Council"", ""constraints"": [{""name"": ""maximum_amount"", ""value"": ""EUR 500 000 000 (2011 prices)""}]}, {""action"": ""provide_financial_contribution"", ""asset"": ""Solidarity_Fund"", ""party"": ""European_Parliament_and_Council"", ""constraints"": [{""name"": ""application_conditions"", ""value"": ""long-lasting period of intense rainfalls during summer and autumn 2017 leading to the saturation of soils and subsequent flooding""}]}], ""duties"": [{""action"": ""provide_financial_contribution"", ""party"": ""European_Parliament_and_Council"", ""constraints"": [{""name"": ""application_conditions"", ""value"": ""long-lasting period of intense rainfalls during summer and autumn 2017 leading to the saturation of soils and subsequent flooding""}]}]}, ""legal_patterns"": [{""pattern_name"": ""Solidarity_Fund_Mobilization"", ""description"": ""The process of mobilizing the Solidarity Fund to provide financial contributions to regions"", ""entities_involved"": [""European_Parliament_and_Council"", ""Latvia"", ""Solidarity_Fund""]}], ""example_instances"": [{""entity"": ""Decision"", ""example_value"": ""DECISION (EU) 2018/1859 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 14 November 2018 on the mobilisation of the European Union Solidarity Fund to provide assistance to Latvia"", ""source_context"": ""EUR-Lex text: 28.11.2018 EN Official Journal of the European Union LI 302/1 DECISION (EU) 2018/1859 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 14 November 2018 on the mobilisation of the European Union Solidarity Fund to provide assistance to Latvia""}]}"
1,32018D1859_1,32018D1859,"{""ontology_name"": ""EU_Solidarity_Fund_Mobilization"", ""description"": ""Legal framework for the mobilization of the European Union Solidarity Fund"", ""odrl_alignment"": {""core_entities"": [""Asset"", ""Party"", ""Permission"", ""Duty"", ""Constraint""], ""extensions"": [""LegalInstrument"", ""Regulation""]}, ""classes"": [{""name"": ""SolidarityFund"", ""type"": ""ODRL_core"", ""description"": ""The European Union Solidarity Fund""}, {""name"": ""Appropriation"", ""type"": ""ODRL_core"", ""description"": ""Commitment and payment appropriations for the Solidarity Fund""}, {""name"": ""Party"", ""type"": ""ODRL_core"", ""description"": ""Parties involved in the Solidarity Fund mobilization""}], ""relationships"": [{""source"": ""SolidarityFund"", ""relation"": ""appliesTo"", ""target"": ""Appropriation"", ""description"": ""The Solidarity Fund applies to the appropriations for its use""}], ""rights_model"": {""permissions"": [{""action"": ""use_solidarity_fund"", ""asset"": ""SolidarityFund"", ""party"": ""EuropeanParliament"", ""constraints"": [{""name"": ""time"", ""value"": ""14 November 2018""}]}, {""action"": ""use_solidarity_fund"", ""asset"": ""SolidarityFund"", ""party"": ""Council"", ""constraints"": [{""name"": ""time"", ""value"": ""14 November 2018""}]}], ""duties"": [{""action"": ""reduce_appropriations"", ""party"": ""EuropeanParliament"", ""constraints"": [{""name"": ""amount"", ""value"": ""EUR 17,730,519""}]}, {""action"": ""reduce_appropriations"", ""party"": ""Council"", ""constraints"": [{""name"": ""amount"", ""value"": ""EUR 17,730,519""}]}]}, ""legal_patterns"": [{""pattern_name"": ""SolidarityFundMobilization"", ""description"": ""The process of mobilizing the Solidarity Fund and its use"", ""entities_involved"": [""SolidarityFund"", ""EuropeanParliament"", ""Council""]}], ""example_instances"": [{""entity"": ""SolidarityFund"", ""example_value"": ""Article 1 of Decision (EU) 2018/508"", ""source_context"": ""For the general budget of the Union for the financial year 2018, the European Union Solidarity Fund shall be mobilised to provide the amount of EUR 17 730 519 to Latvia, in commitment and payment appropriations.""}, {""entity"": ""Appropriation"", ""example_value"": ""Article 1 of Decision (EU) 2018/508"", ""source_context"": ""The amount of the mobilisation referred to in the first paragraph shall be financed from the appropriations mobilised for the payment of advances in the Union budget for the financial year 2018. The appropriations available for the payment of advances shall be reduced accordingly.""}]}"
1,32018D1859_2,32018D1859,"{""ontology_name"": ""EU_Solidarity_Fund_2018"", ""description"": ""Ontology for the EU Solidarity Fund for 2018 payments"", ""odrl_alignment"": {""core_entities"": [""Asset"", ""Party"", ""Permission"", ""Duty"", ""Constraint""], ""extensions"": [""LegalInstrument"", ""Regulation""]}, ""classes"": [{""name"": ""SolidarityFundPayment"", ""type"": ""ODRL_core"", ""description"": ""A payment made from the European Union Solidarity Fund for the 2018 budget""}], ""relationships"": [{""source"": ""SolidarityFundPayment"", ""relation"": ""appliesTo"", ""target"": ""EU_Solidarity_Fund""}], ""rights_model"": {""permissions"": [{""action"": ""use_solidarity_fund_payment"", ""asset"": ""EU_Solidarity_Fund"", ""party"": ""EU"", ""constraints"": [{""name"": ""valid_until"", ""value"": ""2018-12-31""}]}], ""duties"": [{""action"": ""make_solidarity_fund_payment"", ""party"": ""EU"", ""constraints"": [{""name"": ""amount"", ""value"": ""10000000""}]}]}, ""legal_patterns"": [{""pattern_name"": ""SolidarityFundPayment"", ""description"": ""Payment from the Solidarity Fund for the 2018 budget"", ""entities_involved"": [""EU_Solidarity_Fund"", ""EU""]}], ""example_instances"": [{""entity"": ""SolidarityFundPayment"", ""example_value"": ""e mobilisation of the European Union Solidarity Fund to provide for the payment of advances in the general budget of the Union for 2018 (OJ L 83, 27.3.2018, p. 13)."", ""source_context"": ""e mobilisation of the European Union Solidarity Fund to provide for the payment of advances in the general budget of the Union for 2018 (OJ L 83, 27.3.2018, p. 13).""}]}"
